1. (Германия, заключила, Брест-Литовский договор)
2. (Брест-Литовск, место подписания, Брест-Литовский договор)
3. (Германия, подписала, Брест-Литовский договор)
4. (Украина, подписала, отдельный договор)
5. (Германия, подписала, отдельный договор)
6. (Фердинанд Порше, разработал, полноприводная тяга)
7. (Германия, воевала с, Италия)
8. (Германия, воевала с, Великобритания)
9. (Уинстон Черчилль, противостоял, Германия)
10. (Германия, оккупировала, Франция)

(Фридрих Науманн, разработал, Mitteleuropa)  
(Германия, заключила союз с, Австрия)  
(Вильгельм II, командует, Германия)  
(Германия, воевала с, Франция)  
(Германия, разорвала дипломатические отношения, Россия)  
(Франция, заключила союз с, Россия)

(Германия, создала, флот)  
(Германия, воевала с, Франция)  
(Германия, воевала с, Россия)  
(Великобритания, заключила союз с, Франция)  
(Великобритания, заключила союз с, Россия)  
(Франция, заключила союз с, Россия)  
(Италия, напала на, Османская Турция)  
(Италия, оккупировала, Ливия)  
(Италия, оккупировала, Османская империя)  
(Великобритания, оккупировала, Египет)  
(Франция, оккупировала, Северная Африка)

(Сербия, заключила союз с, Россия)  
(Греция, заключила союз с, Британия)  
(Турция, оккупировала, Дарданеллы)  
(Германия, заключила союз с, Австро-Венгрия)  
(Энвер-паша, представляет, Турция)  
(Лиман фон Сандерс, командует, Турция)  
(Россия, разорвала дипломатические отношения, Германия)  
(Россия, воевала с, Германия)  
(Россия, воевала с, Австро-Венгрия)  
(Германия, оккупировала, Турция)  
(Германия, заключила союз с, Турция)  
(Россия, заключила союз с, Британия)  
(Россия, заключила союз с, Франция)  
(Энвер-паша, противостоял, Франция)  
(Энвер-паша, противостоял, Англия)

(Теобальд фон Бетман-Гольвег, противостоял, Россия)  
(Россия, воевала с, Германия)  
(Германия, воевала с, Франция)  
(Германия, заключила союз с, Австро-Венгрия)  
(Сербия, воевала с, Австро-Венгрия)  
(Россия, вступила в войну, 1914)  
(Германия, вступила в войну, 1914)  
(Франция, вступила в войну, 1914)  
(Австро-Венгрия, вступила в войну, 1914)  
(Россия, оккупировала, Германия)

(Франц Фердинанд, умер в, Сараево)  
(Гаврило Принцип, противостоял, Франц Фердинанд)  
(Гаврило Принцип, умер в, тюрьма)  
(Оскар Потиорек, противостоял, Франц Фердинанд)  
(Германия, воевала с, Россия)  
(Германия, воевала с, Антанта)  
(Германия, заключила союз с, Австро-Венгрия)  
(Бисмарк, разработал, обращение случайностей в пользу Германии)  
(Курт Рицлер, представляет, Германия)  
(Бетман-Гольвег, представляет, Германия)

(Австро-Венгрия, объявила войну, Сербия)  
(Германия, объявила войну, Россия)  
(Германия, объявила войну, Франция)  
(Германия, вторглась, Бельгия)  
(Уинстон Черчилль, представляет, Великобритания)  
(Германия, воевала с, Великобритания)  
(Германия, воевала с, Франция)  
