

(Германия, воевала с, Франция)
(Франция, заключила союз с, Россия)
(Фридрих Науманн, разработал, Mitteleuropa)

(Великобритания, заключила союз с, Россия)
(Великобритания, заключила союз с, Франция)



(Германия, воевала с, Россия)
(Германия, воевала с, Франция)
(Германия, заключила союз с, Австро-Венгрия)
(Граф Шлиффен, разработал, План Шлиффена)
(Петр Столыпин, представляет, Россия)
(Россия, воевала с, Германия)
(Россия, вступила в войну, 1914)
(Теобальд фон Бетман-Гольвег, представляет, Германия)



(Германия, воевала с, Великобритания)
(Германия, воевала с, Россия)
(Германия, воевала с, Франция)
(Германия, объявила войну, Россия)
(Германия, объявила войну, Франция)

(Великобритания, вступила в войну, 1914-08-04)

(Эдуард Грей, представляет, Великобритания)



(Великобритания, воевала с, Германия)
(Германия, оккупировала, Бельгия)
(Жозеф Жоффр, разработал, план XVII)
(Франция, воевала с, Германия)

(Германия, воевала с, Великобритания)
(Германия, воевала с, Франция)

(Австро-Венгрия, воевала с, Россия)
(Александр Самсонов, командовал, русская 2-я армия)
(Германия, воевала с, Россия)
(Пауль фон Гинденбург, противостоял, Александр Самсонов)
(Россия, воевала с, Австро-Венгрия)
(Россия, воевала с, Германия)
(Эрих Людендорф, противостоял, Александр Самсонов)

(Австро-Венгрия, воевала с, Сербия)
(Германия, воевала с, Россия)



(Османская империя, воевала с, Россия)
(Россия, воевала с, Австро-Венгрия)
(Россия, воевала с, Германия)
(Россия, воевала с, Османская империя)
(Энвер-паша, вторгся, Россия)
(Энвер-паша, представляет, Османская империя)

(Великобритания, воевала с, Германия)
(Великобритания, вступила в войну, 1914-08-04)
(Уинстон Черчилль, представляет, Великобритания)



(Германия, воевала с, Россия)
(Руперт Брук, умер в, Египет)

(Великобритания, воевала с, Германия)
(Германия, использовала, отравляющий газ)



(Австро-Венгрия, воевала с, Италия)
(Италия, вступила в войну, 1915-05-23)
(Италия, подписала, Лондонский договор)

(Август фон Макензен, командовал, Германия)
(Австро-Венгрия, воевала с, Россия)
(Германия, воевала с, Россия)
(Германия, оккупировала, Польша)

(Германия, оккупировала, Сербия)

